grilla,L,alfa,MV,alfa.GA,alfa.LN,alfa.LC
5.46,8,-1.5,-1.77140551,-1.72404285,-1.599810052,-1.854370992
5.47,8,-1.5,-1.770727979,-1.72358346,-1.599064209,-1.853411856
5.48,8,-1.5,-1.770051627,-1.723124982,-1.598320243,-1.852454767
5.49,8,-1.5,-1.769376451,-1.722667413,-1.61073823,-1.851499719
5.5,8,-1.5,-1.768702446,-1.704947835,-1.609991018,-1.850546707
5.51,8,-1.5,-1.768029609,-1.704454553,-1.609245654,-1.849595725
5.52,8,-1.5,-1.767357938,-1.703962246,-1.608502129,-1.848646767
5.53,8,-1.5,-1.766687428,-1.703470911,-1.607760438,-1.847699827
5.54,8,-1.5,-1.766018078,-1.702980544,-1.607020573,-1.846754899
5.55,8,-1.5,-1.765349883,-1.702491142,-1.606282528,-1.845811977
5.56,8,-1.5,-1.76468284,-1.702002702,-1.605546297,-1.844871056
5.57,8,-1.5,-1.764016947,-1.70151522,-1.604811872,-1.843932131
5.58,8,-1.5,-1.7633522,-1.701028694,-1.604079248,-1.842995194
5.59,8,-1.5,-1.762688596,-1.700543118,-1.603348417,-1.842060241
5.6,8,-1.5,-1.762026132,-1.700058491,-1.602619373,-1.841127266
5.61,8,-1.5,-1.761364804,-1.699574809,-1.601892111,-1.840196263
5.62,8,-1.5,-1.76070461,-1.699092069,-1.601166623,-1.839267226
5.63,8,-1.5,-1.760045546,-1.698610267,-1.600442903,-1.83834015
5.64,8,-1.5,-1.75938761,-1.6981294,-1.599720944,-1.83741503
5.65,8,-1.5,-1.758730798,-1.697649464,-1.599000741,-1.836491859
5.66,8,-1.5,-1.758075107,-1.697170457,-1.598282286,-1.835570632
5.67,8,-1.5,-1.757420535,-1.696692375,-1.597565575,-1.834651344
5.68,8,-1.5,-1.756767078,-1.696215214,-1.5968506,-1.833733988
5.69,8,-1.5,-1.756114733,-1.695738972,-1.596137355,-1.83281856
5.7,8,-1.5,-1.755463497,-1.695263646,-1.595425835,-1.831905055
5.71,8,-1.5,-1.754813367,-1.69478923,-1.594716032,-1.830993465
5.72,8,-1.5,-1.75416434,-1.694315726,-1.594007941,-1.830083787
5.73,8,-1.5,-1.753516414,-1.693843126,-1.593301556,-1.829176014
5.74,8,-1.5,-1.752869585,-1.693371428,-1.59259687,-1.828270141
5.75,8,-1.5,-1.75222385,-1.692900629,-1.591893878,-1.827366163
5.76,8,-1.5,-1.751579206,-1.692430727,-1.591192574,-1.826464074
