L,alfa,grilla,MV,alfa.GA,alfa.LN,alfa.LC,,
3,-3,2.6601,-4.696662806,-3.693512278,-2.821543127,-4.923044289,,
3,-3,2.6701,-4.685501172,-3.6874359,-2.813394542,-4.912935045,,
3,-3,2.6801,-4.674408734,-3.681398275,-2.805310804,-4.902863582,,
3,-3,2.6901,-4.663385053,-3.675399078,-2.797292666,-4.892829844,,
3,-3,2.7001,-4.65242969,-3.669437988,-2.789337164,-4.882833773,,
3,-3,2.7101,-4.641542201,-3.667071814,-2.781444525,-4.872875307,,
3,-3,2.7201,-4.630722142,-3.661066072,-2.815704206,-4.862954382,,
3,-3,2.7301,-4.619969067,-3.655098336,-2.807802905,-4.853070932,,
3,-3,2.7401,-4.609282529,-3.649168291,-2.799963135,-4.84322489,,
3,-3,2.7501,-4.598662078,-3.643275625,-2.792184228,-4.833416184,,
3,-3,2.7601,-4.588107268,-3.63742003,-2.784465525,-4.823644743,,
3,-3,2.7701,-4.577617647,-3.631601201,-2.776806379,-4.813910494,,
3,-3,2.7801,-4.567192767,-3.625818836,-2.76920615,-4.804213361,,
3,-3,2.7901,-4.556832177,-3.620072639,-2.761664214,-4.794553269,,
3,-3,2.8001,-4.546535426,-3.614362314,-2.796474455,-4.784930139,,
3,-3,2.8101,-4.536302066,-3.608687571,-2.788919256,-4.775343893,,
3,-3,2.8201,-4.526131644,-3.603048124,-2.781421118,-4.765794452,,
3,-3,2.8301,-4.516023713,-3.597443689,-2.773979428,-4.756281736,,
3,-3,2.8401,-4.505977824,-3.591873986,-2.766594411,-4.746805663,,
3,-3,2.8501,-4.495993526,-3.588808882,-2.759264054,-4.737366154,,
3,-3,2.8601,-4.486070375,-3.583193282,-2.751988407,-4.727957323,,
3,-3,2.8701,-4.476207922,-3.577612362,-2.744766896,-4.718589766,,
3,-3,2.8801,-4.466405722,-3.572065848,-2.780146717,-4.709258394,,
3,-3,2.8901,-4.45666333,-3.566553472,-2.77290846,-4.699963111,,
3,-3,2.9001,-4.446980304,-3.561084116,-2.765723291,-4.690703819,,
3,-3,2.9101,-4.437356202,-3.555637556,-2.758590659,-4.681480417,,
3,-3,2.9201,-4.427790583,-3.550224562,-2.751510019,-4.672292785,,
3,-3,2.9301,-4.418283009,-3.544844864,-2.744480836,-4.66314014,,
3,-3,2.9401,-4.408833042,-3.539498195,-2.737502581,-4.654023006,,
3,-3,2.9501,-4.399440246,-3.534184292,-2.730574892,-4.644941274,,
3,-3,2.9601,-4.390104189,-3.528902893,-2.766542018,-4.635894834,,
3,-3,2.9701,-4.380824437,-3.52365374,-2.759594321,-4.626883574,,
3,-3,2.9801,-4.371600561,-3.518436581,-2.752696096,-4.617907382,,
3,-3,2.9901,-4.362432134,-3.513251163,-2.745846843,-4.608966143,,
3,-3,3.0001,-4.353318729,-3.508097237,-2.739046068,-4.600059744,,
3,-3,3.0101,-4.344259922,-3.504268376,-2.732293283,-4.591188069,,
3,-3,3.0201,-4.335255293,-3.499068041,-2.725588008,-4.582351002,,
3,-3,3.0301,-4.32630442,-3.493899165,-2.718929767,-4.573548425,,
3,-3,3.0401,-4.317406889,-3.488761511,-2.712318091,-4.56478022,,
3,-3,3.0501,-4.308562283,-3.48383603,-2.748823191,-4.556046269,,
3,-3,3.0601,-4.29977019,-3.47857892,-2.74218802,-4.547346452,,
3,-3,3.0701,-4.291030201,-3.473533519,-2.735599078,-4.538680649,,
3,-3,3.0801,-4.282341907,-3.468518409,-2.729055601,-4.530048739,,
3,-3,3.0901,-4.273704904,-3.463533364,-2.722558,-4.521450601,,
3,-3,3.1001,-4.265118788,-3.458578161,-2.716103191,-4.512886113,,
3,-3,3.1101,-4.256583161,-3.453652579,-2.709692946,-4.504355152,,
3,-3,3.1201,-4.248097624,-3.448756401,-2.703326376,-4.495857595,,
3,-3,3.1301,-4.239661783,-3.443889411,-2.697002628,-4.487393319,,
3,-3,3.1401,-4.231275245,-3.439051395,-2.734063975,-4.478962199,,
3,-3,3.1501,-4.222937621,-3.434242144,-2.727715208,-4.47056411,,
3,-3,3.1601,-4.214648523,-3.429461449,-2.721409189,-4.462198929,,
3,-3,3.1701,-4.206407569,-3.424709104,-2.71514516,-4.45384955,,
3,-3,3.1801,-4.198214374,-3.419984905,-2.708922723,-4.445550578,,
3,-3,3.1901,-4.190068562,-3.41528865,-2.702741488,-4.437284129,,
3,-3,3.2001,-4.181969755,-3.410588509,-2.696601068,-4.429050077,,
3,-3,3.2101,-4.17391758,-3.405846009,-2.690501958,-4.420848295,,
3,-3,3.2201,-4.165911667,-3.40113154,-2.684441325,-4.412678656,,
3,-3,3.2301,-4.157951647,-3.396455466,-2.678420857,-4.404541031,,
3,-3,3.2401,-4.150037156,-3.39179821,-2.715991281,-4.396435293,,
3,-3,3.2501,-4.14216783,-3.387168577,-2.709942258,-4.388361313,,
3,-3,3.2601,-4.13434331,-3.382566382,-2.703935444,-4.380318965,,
3,-3,3.2701,-4.12656324,-3.377991442,-2.697966466,-4.372308118,,
3,-3,3.2801,-4.118827264,-3.373443578,-2.692039418,-4.364328646,,
3,-3,3.2901,-4.111135031,-3.368922609,-2.686141298,-4.35638042,,
3,-3,3.3001,-4.103486193,-3.364428358,-2.680285504,-4.34846331,,
3,-3,3.3101,-4.097274266,-3.359960703,-2.674466872,-4.340577188,,
3,-3,3.3201,-4.089549798,-3.35551911,-2.66868492,-4.332721927,,
3,-3,3.3301,-4.08187064,-3.351103882,-2.662940497,-4.324897397,,
3,-3,3.3401,-4.074236871,-3.346714996,-2.657231754,-4.317103469,,
3,-3,3.3501,-4.066648617,-3.342351081,-2.695268221,-4.309340015,,
3,-3,3.3601,-4.059106049,-3.338011854,-2.689530708,-4.301606907,,
3,-3,3.3701,-4.051130773,-3.333696895,-2.683828902,-4.293904016,,
3,-3,3.3801,-4.043816875,-3.329405882,-2.678162483,-4.286231214,,
3,-3,3.3901,-4.036543357,-3.325138557,-2.672531137,-4.278588211,,
3,-3,3.4001,-4.029309898,-3.320917265,-2.666934559,-4.270974794,,
3,-3,3.4101,-4.022116178,-3.315352413,-2.661372451,-4.2633911,,
3,-3,3.4201,-4.014961883,-3.311090154,-2.655844524,-4.255837001,,
3,-3,3.4301,-4.007846697,-3.306834299,-2.650350502,-4.24831237,,
3,-3,3.4401,-4.000770312,-3.302603412,-2.644890126,-4.24081708,,
3,-3,3.4501,-3.993732419,-3.298397332,-2.639461712,-4.233351004,,
