L;n;alfa.MV;alfa.GA;alfa.LN;alfa.LC
3.21;9;-20;-6.601881236;-3.118268213;-20
3.21;9;-3.575438322;-3.464442923;-4.851941928;-11.47707111
3.21;9;-6.8473528;-5.021127173;-5.096732336;-20
3.21;9;-20;-7.563648417;-2.67503264;-20
3.21;9;-4.08328356;-20;-1.533844609;-20
3.21;9;-20;-20;-2.770486912;-20
3.21;9;-4.224625636;-2.238932355;-8.726207636;-2.106871871
3.21;9;-4.800994542;-20;-2.197870692;-2.158878858
3.21;9;-3.246582876;-10.3583106;-12.07767579;-4.1440761
3.21;9;-9.399097749;-4.233815537;-3.201639955;-20
3.21;9;-20;-3.928905705;-2.228499024;-6.048282062
3.21;9;-20;-7.560489351;-3.264405652;-3.501424897
3.21;9;-20;-4.329119183;-5.387919482;-3.043045398
3.21;9;-20;-11.42524068;-20;-5.47643831
3.21;9;-3.717741798;-20;-20;-2.729773183
3.21;9;-6.324776118;-3.910535072;-20;-10.0110826
3.21;9;-20;-3.970864822;-3.567565089;-20
3.21;9;-20;-14.46684508;-3.586887221;-20
3.21;9;-20;-20;-2.327840523;-20
3.21;9;-5.956980215;-12.3686032;-4.680883502;-2.52594747
3.21;9;-20;-6.430803313;-2.14392649;-20
3.21;9;-20;-12.37212763;-2.738404051;-20
3.21;9;-11.21547487;-8.546357361;-20;-19.52890125
3.21;9;-20;-5.058135364;-2.602545617;-20
3.21;9;-20;-11.38556073;-1.554943173;-8.987449932
3.21;9;-20;-4.533560241;-2.362322915;-20
3.21;9;-20;-3.022058825;-4.573926463;-9.225387867
3.21;9;-20;-5.284648046;-6.986907806;-4.265634745
3.21;9;-20;-20;-1.671666169;-20
3.21;9;-6.913795929;-3.294779802;-4.286415369;-20
3.21;9;-2.186513041;-3.859568017;-2.059542227;-1.817241434
3.21;9;-5.595719608;-2.933723166;-3.195289885;-20
3.21;9;-10.54190201;-5.558833005;-2.884603511;-2.651927408
3.21;9;-20;-6.620359673;-7.309960532;-20
3.21;9;-2.230285154;-16.3024541;-20;-2.336528129
3.21;9;-8.832896756;-13.83221285;-2.446341373;-5.32202399
3.21;9;-4.560011928;-3.990065264;-4.507724842;-20
3.21;9;-20;-20;-2.512002246;-5.965908104
3.21;9;-20;-10.95073481;-3.239011399;-20
3.21;9;-20;-4.862178107;-4.453632877;-20
3.21;9;-20;-3.740682826;-1.799788582;-7.557431827
3.21;9;-10.33020724;-20;-5.534314721;-20
3.21;9;-15.05006938;-2.93749416;-2.393281241;-5.56836887
3.21;9;-4.096456481;-4.574672522;-3.381346791;-2.475165399
3.21;9;-11.74865025;-6.76981832;-3.290418336;-20
3.21;9;-20;-3.204586583;-5.643650162;-4.587157429
3.21;9;-3.154749166;-17.45264784;-2.065546124;-2.05832705
3.21;9;-3.065894731;-2.246669605;-2.95215463;-2.077496555
3.21;9;-20;-4.539516747;-5.51022789;-20
3.21;9;-4.420657776;-4.534071367;-5.270683846;-4.854789728
3.21;9;-20;-20;-20;-20
3.21;9;-3.059678104;-20;-3.634967857;-2.970286363
3.21;9;-20;-4.611962844;-1.572800047;-8.58513439
3.21;9;-10.87642972;-3.091116723;-2.32705263;-20
3.21;9;-5.258823465;-3.744941797;-3.311896883;-20
3.21;9;-20;-3.807667176;-3.740981358;-20
3.21;9;-15.01753552;-4.357014143;-2.221865189;-20
3.21;9;-2.173155556;-2.508114651;-2.352807659;-3.630854257
3.21;9;-8.410833458;-3.633417623;-1.882075281;-20
3.21;9;-11.15301423;-2.283612627;-3.154857346;-20
3.21;9;-8.322315111;-4.005360427;-2.472747398;-20
3.21;9;-4.293024196;-3.439900601;-3.653987691;-20
3.21;9;-9.591172496;-7.550839346;-4.119388413;-20
3.21;9;-3.506243944;-8.46870434;-20;-2.093316448
3.21;9;-10.25001801;-20;-1.70700118;-4.388761274
3.21;9;-8.838154009;-20;-1.853771709;-5.332478467
3.21;9;-20;-1.974719387;-2.384999055;-20
3.21;9;-20;-5.214748375;-4.509959624;-20
3.21;9;-20;-11.84204462;-1.652876033;-3.719580823
3.21;9;-15.2687528;-2.68379914;-2.33691077;-2.296028423
3.21;9;-1.547197136;-2.328585768;-2.941230249;-1.644068808
3.21;9;-20;-4.303855477;-7.141767607;-3.175097382
3.21;9;-10.03040513;-6.348965397;-3.452454818;-20
3.21;9;-2.410298885;-5.860217209;-2.738557949;-1.872803031
3.21;9;-20;-20;-2.394281922;-3.118936813
3.21;9;-20;-2.611458072;-1.871450581;-20
3.21;9;-20;-2.290420913;-10.51876865;-20
3.21;9;-20;-9.646764341;-2.727366054;-20
3.21;9;-20;-5.631477827;-9.221858213;-20
3.21;9;-3.091214634;-20;-3.119178671;-2.174459537
3.21;9;-9.176220793;-5.090432081;-4.675832158;-3.579443806
3.21;9;-20;-3.132381468;-20;-20
3.21;9;-20;-4.73158217;-4.41906967;-20
3.21;9;-20;-4.231580912;-3.506213812;-20
3.21;9;-8.205954382;-3.715864586;-2.809532476;-20
3.21;9;-20;-2.19548663;-2.454411621;-20
3.21;9;-3.447711254;-4.397601756;-20;-2.489425296
3.21;9;-20;-20;-15.21716395;-18.39204442
3.21;9;-12.40870208;-9.417935157;-2.129052839;-18.13114353
3.21;9;-20;-7.460640082;-20;-4.739013878
3.21;9;-20;-20;-2.397987555;-20
3.21;9;-12.65101411;-2.193371101;-2.848723205;-20
3.21;9;-20;-20;-20;-20
3.21;9;-3.022483405;-5.072882863;-2.131737765;-1.917175386
3.21;9;-12.00719471;-3.985072909;-7.809434641;-20
3.21;9;-20;-7.065327572;-2.277877904;-3.899205396
3.21;9;-8.344955084;-2.066206284;-2.806841628;-20
3.21;9;-20;-6.761558822;-3.585681588;-20
3.21;9;-3.204033513;-1.868855769;-8.637491896;-2.073910104
3.21;9;-20;-1.852812363;-2.588120447;-20
3.21;9;-2.266961213;-2.545785875;-3.225002768;-1.733740303
3.21;9;-2.319411443;-8.085417398;-20;-2.403963628
3.21;9;-3.073253947;-2.290478803;-20;-2.546887268
3.21;9;-20;-9.080250249;-2.317499305;-20
3.21;9;-3.197859936;-2.271349403;-2.567380832;-3.112086634
3.21;9;-20;-8.971295767;-2.22734267;-3.563436324
3.21;9;-6.524635224;-5.43032722;-2.600833645;-8.915229939
3.21;9;-20;-20;-1.590794869;-20
3.21;9;-20;-20;-2.328251574;-20
3.21;9;-20;-4.168956627;-2.161128579;-20
3.21;9;-20;-3.401029705;-3.568153037;-20
3.21;9;-8.429441953;-20;-2.797022665;-2.247310719
3.21;9;-10.66982891;-6.052668606;-20;-2.713363222
3.21;9;-14.50829834;-2.564071239;-5.032131901;-3.165269125
3.21;9;-20;-3.132489072;-3.769275912;-7.344391646
3.21;9;-5.386435458;-2.645246681;-4.055876086;-3.946112152
3.21;9;-10.35404325;-7.731494762;-2.192322008;-11.20554565
3.21;9;-4.099218859;-6.250807069;-8.134394;-3.305156677
3.21;9;-20;-5.907200172;-3.430639076;-11.67261937
3.21;9;-20;-12.31086746;-2.348811726;-16.921645
3.21;9;-20;-11.09579235;-20;-3.610727913
3.21;9;-20;-6.274361013;-3.397044562;-4.219411393
3.21;9;-20;-3.011028723;-1.785479601;-3.121236201
3.21;9;-4.977517894;-11.23961938;-2.905659911;-20
3.21;9;-4.991045829;-5.139241028;-2.363946772;-20
3.21;9;-20;-3.551350684;-3.222824373;-20
3.21;9;-20;-20;-3.890773434;-8.042214513
3.21;9;-20;-3.894376697;-4.239478074;-5.078013329
3.21;9;-20;-3.027645404;-3.504898891;-20
3.21;9;-5.415535866;-4.269632441;-4.083459823;-20
3.21;9;-3.510576796;-3.774802776;-1.750630889;-3.876225193
3.21;9;-5.107107637;-5.95195928;-3.502077664;-20
3.21;9;-6.316513938;-7.270134933;-3.269948386;-20
3.21;9;-20;-5.548456361;-12.32541922;-20
3.21;9;-20;-4.356562977;-7.023525063;-20
3.21;9;-20;-5.854953682;-5.939194327;-20
3.21;9;-4.768278623;-3.411587177;-6.53139639;-4.914172675
3.21;9;-20;-5.380533124;-2.973852665;-15.20116802
3.21;9;-4.97523672;-5.87362362;-1.836785255;-2.39603036
3.21;9;-2.897696914;-20;-20;-2.488618534
3.21;9;-20;-9.308066851;-2.081146272;-20
3.21;9;-20;-7.467017012;-3.790781858;-20
3.21;9;-20;-10.32048335;-12.00045621;-20
3.21;9;-8.589901677;-4.460502577;-1.96562079;-2.669247061
3.21;9;-20;-2.003725356;-1.789621552;-2.810865849
3.21;9;-20;-20;-16.62710822;-2.787236907
3.21;9;-20;-3.640308504;-11.16247149;-20
3.21;9;-5.403185757;-7.932677523;-4.904006662;-20
3.21;9;-9.250644864;-10.70354285;-2.213144676;-5.373036906
3.21;9;-20;-2.23662082;-3.280734807;-20
3.21;9;-20;-3.71866502;-20;-20
3.21;9;-2.398639305;-20;-2.057496306;-1.769757467
3.21;9;-20;-20;-20;-8.676883603
3.21;9;-20;-8.17242243;-3.681935042;-20
3.21;9;-20;-3.772603433;-5.041273931;-20
3.21;9;-20;-4.589632411;-20;-4.580691178
3.21;9;-20;-20;-2.100873723;-3.726701166
3.21;9;-20;-20;-2.427490148;-11.26415858
3.21;9;-20;-20;-2.437933658;-20
3.21;9;-5.672558725;-3.878448162;-2.304839014;-2.172423573
3.21;9;-4.533199866;-5.896167891;-4.914896624;-20
3.21;9;-17.21986477;-20;-2.581356562;-7.54648362
3.21;9;-20;-4.157994584;-2.426567551;-20
3.21;9;-20;-4.471357715;-2.728198466;-20
3.21;9;-20;-4.356490344;-2.744721912;-15.56435861
3.21;9;-2.911810076;-9.725705688;-4.900448828;-1.868104794
3.21;9;-5.094240025;-7.592205008;-1.776322436;-2.993861157
3.21;9;-3.018119023;-2.793664316;-1.630153366;-1.912191776
3.21;9;-20;-1.839789617;-6.091550374;-12.53422717
3.21;9;-20;-5.77236141;-1.843958378;-20
3.21;9;-6.85999278;-8.648207699;-1.61409008;-3.638480372
3.21;9;-4.08384439;-20;-2.186026526;-2.401438885
3.21;9;-20;-7.279539518;-3.381764871;-18.74557789
3.21;9;-1.885476358;-13.10894019;-2.245372662;-1.492983386
3.21;9;-5.445656632;-5.732748981;-3.198492026;-20
3.21;9;-7.395413197;-2.384970332;-20;-4.064439928
3.21;9;-4.786635017;-5.040955405;-3.741751112;-20
