grilla,L,alfa,MV,alfa.GA,alfa.LN,alfa.LC
4.8801,8,-8,-5.477177363,-3.710913863,-3.856378477,-4.989172404
4.8901,8,-8,-5.468947985,-3.705927745,-3.849048407,-4.979216831
4.9001,8,-8,-5.460753283,-3.700960834,-3.841749151,-4.9693076
4.9101,8,-8,-5.452594052,-3.696013003,-3.970087303,-4.959444409
4.9201,8,-8,-5.444467689,-3.691084124,-3.962668327,-4.949626958
4.9301,8,-8,-5.436375325,-3.686174072,-3.955279469,-4.939854949
4.9401,8,-8,-5.428316717,-3.681282723,-3.947920562,-4.930128089
4.9501,8,-8,-5.420291619,-3.676409954,-3.940591434,-4.920446085
4.9601,8,-8,-5.412299792,-3.671555643,-3.933291921,-4.910808647
4.9701,8,-8,-5.404340049,-3.66671967,-3.926021855,-4.901215489
4.9801,8,-8,-5.396414214,-3.661901917,-3.918781073,-4.891666325
4.9901,8,-8,-5.388520923,-3.657102265,-3.911569412,-4.882160875
5,8,-8,-5.380738402,-3.652368325,-3.904458394,-4.872698859
5.01,8,-8,-5.372909207,-3.647604349,-3.897304204,-4.863280001
5.02,8,-8,-5.365111892,-3.642858129,-3.890178656,-4.853904025
5.03,8,-8,-5.357346236,-3.638129553,-3.883081593,-4.84457066
5.04,8,-8,-5.349612024,-3.633418507,-3.876012857,-4.835279638
5.05,8,-8,-5.341909041,-3.628724882,-3.868972296,-4.826030692
5.06,8,-8,-5.334237076,-3.624048568,-3.861959754,-4.816823558
5.07,8,-8,-5.326595918,-3.619389456,-3.854975079,-4.807657976
5.08,8,-8,-5.318985358,-3.614747439,-3.848018121,-4.798533687
5.09,8,-8,-5.31140519,-3.61012241,-3.841088729,-4.789450435
5.1,8,-8,-5.303855211,-3.605514265,-3.834186755,-4.780407968
5.11,8,-8,-5.296335215,-3.600922897,-3.827312051,-4.771406036
5.12,8,-8,-5.288845005,-3.596348206,-3.820464472,-4.762444393
5.13,8,-8,-5.281384379,-3.591790087,-3.813643871,-4.753522793
5.14,8,-8,-5.273953143,-3.58724844,-3.806850105,-4.744640997
