L,grilla,alfa,MV,alfa.GA,alfa.LN,alfa.LC
3,3.7401,-5,-5.756726374,-3.924836191,-3.694779988,-6.139075939
3,3.7501,-5,-5.740716641,-3.917758625,-3.690268857,-6.122209126
3,3.7601,-5,-5.724833297,-3.910732704,-3.685788716,-6.105442312
3,3.7701,-5,-5.709074833,-3.903757919,-3.681339321,-6.088774688
3,3.7801,-5,-5.693439765,-3.896833768,-3.676920124,-6.072205453
3,3.7901,-5,-5.677926628,-3.889959751,-3.672531368,-6.055733813
3,3.8001,-5,-5.662533982,-3.883135379,-3.668172621,-6.039358983
3,3.8101,-5,-5.647260405,-3.876360163,-3.663840998,-6.023080184
3,3.8201,-5,-5.632104501,-3.869633625,-3.659543974,-6.006896646
3,3.8301,-5,-5.617064891,-3.862955286,-3.655273702,-5.990807606
3,3.8401,-5,-5.60214022,-3.856324676,-3.651032468,-5.974819081
3,3.8501,-5,-5.587329151,-3.849741332,-3.646819768,-5.958924252
3,3.8601,-5,-5.572630367,-3.843204793,-3.64647389,-5.943120696
3,3.8701,-5,-5.55804257,-3.836714604,-3.642217364,-5.927357762
3,3.8801,-5,-5.543564483,-3.854835392,-3.637989286,-5.911734803
3,3.8901,-5,-5.529194846,-3.848232898,-3.633790019,-5.896201178
3,3.9001,-5,-5.514932421,-3.84167704,-3.629619052,-5.880756248
3,3.9101,-5,-5.500775982,-3.835167366,-3.625478025,-5.865399383
3,3.9201,-5,-5.486724328,-3.828703423,-3.621362694,-5.850129953
3,3.9301,-5,-5.472776269,-3.82228477,-3.617275038,-5.834947333
3,3.9401,-5,-5.458930636,-3.815910968,-3.613214829,-5.819850902
3,3.9501,-5,-5.445186277,-3.809581583,-3.609181841,-5.804840041
3,3.9601,-5,-5.431542055,-3.803296184,-3.605175853,-5.789914134
3,3.9701,-5,-5.417996851,-3.797054349,-3.601196645,-5.775072567
3,3.9801,-5,-5.40454956,-3.790855654,-3.597243617,-5.760314728
3,3.9901,-5,-5.391199095,-3.784699685,-3.593317709,-5.745640007
3,4.0001,-5,-5.377944383,-3.77858603,-3.589417555,-5.731047794
3,4.0101,-5,-5.364784368,-3.772514283,-3.588350281,-5.716537479
3,4.0201,-5,-5.351718007,-3.76648404,-3.584406856,-5.702108455
3,4.0301,-5,-5.338744272,-3.760494903,-3.580489523,-5.687760114
3,4.0401,-5,-5.325862151,-3.754546479,-3.576598074,-5.673501763
3,4.0501,-5,-5.313070645,-3.748638379,-3.572732302,-5.659311858
3,4.0601,-5,-5.300368769,-3.742770217,-3.568892004,-5.64519342
3,4.0701,-5,-5.287755552,-3.736941612,-3.565076978,-5.631162943
3,4.0801,-5,-5.275230039,-3.731152188,-3.561287023,-5.617211654
3,4.0901,-5,-5.262791283,-3.725401572,-3.557521941,-5.603339615
3,4.1001,-5,-5.250438354,-3.719689396,-3.553781536,-5.589546913
3,4.1101,-5,-5.238170335,-3.714015295,-3.550065614,-5.575804643
3,4.1201,-5,-5.22598632,-3.70837891,-3.546373981,-5.562154891
3,4.1301,-5,-5.213885415,-3.702779883,-3.542706448,-5.548579663
3,4.1401,-5,-5.201866742,-3.697217862,-3.539062825,-5.53507833
3,4.1501,-5,-5.189929431,-3.714572269,-3.535442925,-5.521650256
3,4.1601,-5,-5.178072624,-3.708905716,-3.531846563,-5.508294803
3,4.1701,-5,-5.166295478,-3.703276364,-3.530041772,-5.495011328
3,4.1801,-5,-5.154597159,-3.69768386,-3.526402778,-5.481799182
3,4.1901,-5,-5.142976844,-3.692127855,-3.522787279,-5.468657711
3,4.2001,-5,-5.131433723,-3.686608002,-3.519195092,-5.455586255
3,4.2101,-5,-5.119966996,-3.68112396,-3.515621701,-5.442584147
3,4.2201,-5,-5.108575872,-3.675675391,-3.512076238,-5.429700716
3,4.2301,-5,-5.097259573,-3.670261961,-3.508553454,-5.41683528
3,4.2401,-5,-5.086017332,-3.664883338,-3.505053182,-5.404037153
3,4.2501,-5,-5.074848388,-3.659539198,-3.501575258,-5.391314563
3,4.2601,-5,-5.063751995,-3.654229216,-3.498119516,-5.378661907
3,4.2701,-5,-5.052727416,-3.648953074,-3.494685793,-5.366076534
3,4.2801,-5,-5.041773921,-3.643713869,-3.49127392,-5.353557953
3,4.2901,-5,-5.030890791,-3.638503952,-3.487883737,-5.341105675
3,4.3001,-5,-5.020077317,-3.633327004,-3.484515081,-5.328719218
3,4.3101,-5,-5.009332801,-3.628182712,-3.48116779,-5.316398105
3,4.3201,-5,-4.998682444,-3.62307077,-3.477841703,-5.304141865
3,4.3301,-5,-4.988072941,-3.617990873,-3.47453666,-5.29195003
3,4.3401,-5,-4.977530349,-3.61294272,-3.471252503,-5.279822142
3,4.3501,-5,-4.967054005,-3.607926016,-3.468635599,-5.267757743
3,4.3601,-5,-4.956643256,-3.602940468,-3.465309368,-5.255756387
3,4.3701,-5,-4.946297121,-3.597985786,-3.462003988,-5.243817628
3,4.3801,-5,-4.936015653,-3.593061685,-3.458719298,-5.23194103
3,4.3901,-5,-4.925797866,-3.588167884,-3.455455141,-5.220126161
3,4.4001,-5,-4.915643137,-3.583304103,-3.452211359,-5.208372596
3,4.4101,-5,-4.905550854,-3.578470069,-3.448987797,-5.196679917
3,4.4201,-5,-4.895520411,-3.573665508,-3.445784301,-5.18504771
3,4.4301,-5,-4.885551211,-3.568890152,-3.442600718,-5.173475569
3,4.4401,-5,-4.875642664,-3.564143737,-3.439436896,-5.161963096
3,4.4501,-5,-4.865794186,-3.559426,-3.436292685,-5.150509899
3,4.4601,-5,-4.856005204,-3.554736681,-3.433167936,-5.139115591
3,4.4701,-5,-4.846275149,-3.550075526,-3.430062501,-5.127779796
3,4.4801,-5,-4.836603461,-3.545442282,-3.426976234,-5.116452144
3,4.4901,-5,-4.826989587,-3.561990633,-3.423908988,-5.105232271
3,4.5001,-5,-4.81743273,-3.557256811,-3.420860621,-5.094069823
3,4.5101,-5,-4.807932491,-3.552551358,-3.41783099,-5.082964454
3,4.5201,-5,-4.798488462,-3.547873955,-3.414819953,-5.071915827
3,4.5301,-5,-4.789100125,-3.543224292,-3.41182737,-5.060922264
3,4.5401,-5,-4.779766966,-3.53860206,-3.40839541,-5.049978823
3,4.5501,-5,-4.770488475,-3.534006958,-3.405361111,-5.03909029
3,4.5601,-5,-4.761264152,-3.529438689,-3.402345226,-5.028256278
3,4.5701,-5,-4.752093496,-3.524896963,-3.399347614,-5.017476405
3,4.5801,-5,-4.742976015,-3.520381494,-3.396371231,-5.00675029
3,4.5901,-5,-4.733911221,-3.515892,-3.393409175,-4.996077559
3,4.6001,-5,-4.724898629,-3.511428204,-3.390465076,-4.985457838
3,4.6101,-5,-4.71593776,-3.506989837,-3.387538786,-4.974890758
3,4.6201,-5,-4.70702814,-3.502576629,-3.384630161,-4.964375954
3,4.6301,-5,-4.698169299,-3.498188321,-3.38173906,-4.953913062
3,4.6401,-5,-4.689360772,-3.493824654,-3.378865342,-4.943501725
3,4.6501,-5,-4.680602101,-3.489485374,-3.376008871,-4.933141584
3,4.6601,-5,-4.671892828,-3.485170235,-3.373169512,-4.922832289
3,4.6701,-5,-4.663232507,-3.48087899,-3.37034713,-4.912573489
3,4.6801,-5,-4.654620692,-3.476622957,-3.367541595,-4.902364838
3,4.6901,-5,-4.646056943,-3.47238186,-3.364752778,-4.892205994
3,4.7001,-5,-4.637540828,-3.468164419,-3.361980551,-4.882096616
3,4.7101,-5,-4.629071919,-3.463970429,-3.359224788,-4.87203637
3,4.7201,-5,-4.620649791,-3.459799691,-3.356485365,-4.86202492
3,4.7301,-5,-4.61227403,-3.455652002,-3.353762158,-4.852061939
3,4.7401,-5,-4.603944222,-3.451527166,-3.351055047,-4.842147098
3,4.7501,-5,-4.59565996,-3.447424988,-3.346748221,-4.832280076
3,4.7601,-5,-4.587420844,-3.443345274,-3.343999547,-4.822460553
3,4.7701,-5,-4.579226476,-3.439287833,-3.341266926,-4.812688212
3,4.7801,-5,-4.571076466,-3.435252475,-3.338550239,-4.80296274
3,4.7901,-5,-4.562965226,-3.431239013,-3.335855592,-4.793283828
3,4.8001,-5,-4.55492878,-3.427247262,-3.333168117,-4.783651171
3,4.8101,-5,-4.54690639,-3.423277038,-3.330496886,-4.774064467
3,4.8201,-5,-4.538927094,-3.419328161,-3.327841671,-4.764523416
3,4.8301,-5,-4.530990557,-3.41540045,-3.325202238,-4.755027725
3,4.8401,-5,-4.52308893,-3.411493728,-3.322578363,-4.745577102
3,4.8501,-5,-4.515237997,-3.407607819,-3.319969832,-4.736171262
3,4.8601,-5,-4.507428747,-3.403743348,-3.3173761,-4.726804009
3,4.8701,-5,-4.499660737,-3.39989833,-3.31479797,-4.717485946
3,4.8801,-5,-4.491933554,-3.39607385,-3.312234239,-4.708211695
3,4.8901,-5,-4.484246807,-3.412035238,-3.309685051,-4.698980969
3,4.9001,-5,-4.476600125,-3.40812916,-3.307150225,-4.689793484
3,4.9101,-5,-4.46899315,-3.404226042,-3.30462958,-4.68064896
3,4.9201,-5,-4.461425536,-3.40034309,-3.302122946,-4.67154704
3,4.9301,-5,-4.453896945,-3.396480137,-3.299630155,-4.66248688
3,4.9401,-5,-4.446407047,-3.39263702,-3.297151045,-4.65346878
3,4.9501,-5,-4.438950967,-3.388813577,-3.294694339,-4.644492462
3,4.9601,-5,-4.431539365,-3.385009646,-3.292245308,-4.635557652
