L,alfa,n,alfa.MV,alfa.DT.GA.BFGS,alfa.DT.LN.BFGS,alfa.LC,tiempo.MV,tiempo.BFGS.GA,tiempo.BFGS.LN,b.GA,b.LN
3,-1.5,9,-1.876344006,-2.746469417,-1.663868391,-2.29169865,0,0.66,2.24,0.126288053,0.778776324
3,-1.5,9,-2.023614799,-1.547298491,-1.809498553,-4.146826719,0.02,1.67,0.83,0.030999639,0.449494761
3,-1.5,9,-1.423115887,-1.339440799,-1.357710587,-1.624066037,0,1.42,1.95,0.151053236,0.513581004
3,-1.5,9,-1.303107078,-1.271978527,-1.483032309,-1.239784085,0,1.29,3.44,0.006816431,0.061347882
3,-1.5,9,-1.188972764,-1.138044011,-1.174716808,-1.207153536,0,1.32,3.37,0.031435152,0.125740609
3,-1.5,9,-1.367236277,-1.33412262,-1.393228372,-1.286003038,0,1.58,1.34,0.006270771,0.16304004
3,-1.5,9,-1.305980764,-1.348831199,-1.267803404,-1.45192862,0,0.78,6.33,0.214204832,1.071024159
3,-1.5,9,-1.683503273,-1.618315923,-1.540046638,-1.627118079,0,0.52,0.53,0.213449713,0.698562697
3,-1.5,9,-2.626002992,-3.022875426,-1.894384027,-8.781471034,0,0.87,1.03,0.674694351,0.977143543
3,-1.5,9,-1.824140992,-1.542869306,-1.771394605,-1.46352115,0,1.06,1.42,0.104484194,0.401862283
3,-1.5,9,-1.581624355,-1.422814309,-1.589073914,-1.327947213,0,1.17,1.8,0.051660177,0.234818988
3,-1.5,9,-1.931163336,-1.914828758,-1.990891477,-3.087238736,0,0.85,1.42,0.06047577,0.483806158
3,-1.5,9,-1.335629176,-1.294507927,-1.280284883,-1.284322239,0,0.69,6.41,0.142965547,0.740821473
3,-1.5,9,-1.602743014,-1.864149697,-1.446634238,-1.613896819,0,0.62,0.92,0.249703701,0.83234567
3,-1.5,9,-1.797032697,-1.684370568,-1.801371311,-2.020479583,0,1.33,1.14,0.027085793,0.325029514
3,-1.5,9,-1.336020254,-1.247702912,-1.359084608,-1.359394775,0.02,1.19,0.69,0.014710632,0.279502016
3,-1.5,9,-1.770871069,-1.536135514,-1.704505524,-1.438179603,0.02,3.86,1.61,0.186111486,0.33838452
3,-1.5,9,-1.246643834,-1.316082276,-1.228528645,-1.216282668,0,1.36,1.12,0.128788825,0.547352508
3,-1.5,9,-2.146462117,-2.409285278,-1.708918047,-2.184617251,0,0.59,1.11,0.335452503,0.846618223
3,-1.5,9,-1.888832853,-1.920017761,-1.611997145,-2.105786023,0,0.66,0.98,0.207937542,0.770592067
3,-1.5,9,-1.896092249,-1.718612558,-1.879760254,-2.523805195,0,1.76,0.62,0.099736987,0.498684934
3,-1.5,9,-2.965546158,-3.04552907,-2.083068067,-2.144827906,0,0.81,1,0.401643587,0.732999545
3,-1.5,9,-1.370778414,-1.342722925,-1.342132422,-1.258283267,0.01,0.82,1.62,0.181270327,0.287730678
3,-1.5,9,-1.360202101,-1.291181698,-1.318453778,-1.294501729,0,0.91,3.3,0.071169954,0.622737095
3,-1.5,9,-1.235632324,-1.174393038,-1.243879175,-1.172736133,0,1.22,3.14,0.040654754,0.040654754
3,-1.5,9,-1.684277383,-2.520616703,-1.566832977,-1.573234415,0,0.73,0.64,0.379156044,0.677064364
